city,country,latitude,longitude
Sydney,Australia,-33.8678,151.2100
Melbourne,Australia,-37.8142,144.9631
Brisbane,Australia,-27.4678,153.0278
Perth,Australia,-31.9558,115.8597
Adelaide,Australia,-34.9275,138.6000
Canberra,Australia,-35.2931,149.1269
Hobart,Australia,-42.8833,147.3167
Darwin,Australia,-12.4381,130.8411
Kabul,Afghanistan,34.5289,69.1725
Beijing,China,39.9075,116.3972
Helsinki,Finland,60.1692,24.9402
Paris,France,48.8534,2.3488
Berlin,Germany,52.5244,13.4105
Jakarta,Indonesia,-6.2118,106.8416
Tokyo,Japan,35.6895,139.6917
Wellington,New Zealand,-41.2866,174.7756
Singapore,Singapore,1.2897,103.8501
London,United Kingdom,51.5085,-0.1257